Isolate Rep,Isolate.Name,95%OTU,99%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,"USA, Canada",Arnold South and Central America,"Mexico, S. & C.  America",Arnold Europe,Europe,Arnold Asia,Asia,Arnold Other,Other,Arnold Angiospermae,Angiospermae,Arnold Gymnosperm,"""Gymnosperm""",Arnold Seed-free vascular plants,Seed-free vascular plants,Arnold non-vascular plants,Non-vascular plants,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,"Arnold Wood, bark","Wood, bark",Arnold Root,Root,Arnold Seed,Seed,Arnold Soil,Soil,Arnold insect-associated,Insect-associated,"Arnold Fruit, inflorescence","Fruit, inflorescence"
AZ0398,AZ0398,35,303,74,1,74,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,6,0,62,0,6,10,2,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0
AZ0448,AZ0448,123,151,103,1,103,0,0,0,0,1,0,0,0,0,4,1,4,0,1,0,26,0,68,0,27,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ0526,AZ0526,31,8,437,23,437,6,0,1,0,15,0,1,0,0,95,18,23,2,2,0,88,1,229,0,149,5,20,0,39,0,0,2,0,0,0,0,0,1,0,0,0,0
AZ0703,AZ0703,234,78,136,49,136,35,0,6,0,6,0,0,0,0,0,6,10,35,1,1,10,4,115,1,11,24,5,0,5,0,0,6,0,1,0,0,0,0,0,0,0,0
AZ1047,AZ1047,38,305,2,4,2,0,0,0,0,1,0,0,0,3,0,0,1,4,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscance,Biscogniauxia anceps,133,339,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscarim,Biscogniauxia arima,198,275,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscatro,Biscogniauxia atropunctata,NA,NA,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisccapn,Biscogniauxia capnodes 142,NA,NA,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisccapn2,Biscogniauxia capnodes YMJ 138,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BisccapnR,Biscogniauxia capnodes var. rumpens,NA,NA,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisccitr1,Biscogniauxia citriformis YMJ 88113012,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisccitr2,Biscogniauxia citriformis YMJ 129,NA,NA,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisccyli,Biscogniauxia cylindrispora,162,348,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscform,Biscogniauxia formosana,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscgran,Biscogniauxia granmo,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisclati1,Biscogniauxia latirima YMJ 89101101,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisclati2,Biscogniauxia latirima YMJ 90080703,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscmarg,Biscogniauxia marginata,107,226,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Biscmedi,Biscogniauxia mediterranea,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscnumm,Biscogniauxia nummularia ,114,236,1,15,0,0,0,0,1,11,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Biscphil,Biscogniauxia philippinensis var. microspora,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscsimp,Biscogniauxia simplicior,14,297,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biscunia,Biscogniauxia uniapiculata,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camitinc,Camillea tinctor ,135,160,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daldbamb1,Daldinia bambusicola 107,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldbamb2,Daldinia bambusicola CBS 122872,252,137,1,4,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldcald1,Daldinia caldariorum 104,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldcald2,Daldinia caldariorum CBS 122874,146,250,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldcald3,Daldinia caldariorum YMJ 263,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldchil1,Daldinia childiae 91010202,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldchil2,Daldinia childiae CBS 122881,31,364,1,25,0,2,0,0,1,7,0,8,0,0,0,11,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0
Daldchil3,Daldinia childiae YJM 252,NA,NA,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldclav,Daldinia clavata CBS 113044,252,317,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daldclav2,Daldinia clavata YMJ 106,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldconc1,Daldinia concentrica M-0066225,171,260,1,37,0,0,0,0,0,23,1,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0
Daldconc2,Daldinia concentrica CBS 139.73,31,294,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dalddeci,Daldinia decipiens CBS 113046,31,63,1,4,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalddeci2,Daldinia decipiens YMJ 185,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldesch,Daldinia eschscholzii 101,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldesch2,Daldinia eschscholzii YMJ 264,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldfiss1,Daldinia fissa 121,32,91,1,15,0,1,0,1,1,9,0,2,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Daldfiss2,Daldinia fissa CBS 157.32,31,294,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldgran,Daldinia grandis,31,51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daldlocu,Daldinia loculata,32,373,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldlocu2,Daldinia loculatoides,31,108,1,2,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daldlocu3,Daldinia loculata CBS 113971,31,243,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daldpetr,Daldinia petriniae 179,32,33,1,9,1,0,0,0,0,7,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Daldpetr2,Daldinia petriniae CBS 117126,31,63,1,8,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Daldsing,Daldinia singularis,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daldsp,Daldinia sp.,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discmyrm,Discoxylaria myrmecophila,150,41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomamm,Entoleuca mammata,25,281,1,3,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euepspha,Euepixylon sphaeriostomum,64,219,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FL0016,FL0016,7,210,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0031,FL0031,8,30,36,4,36,0,0,4,0,0,0,0,0,0,0,2,6,0,1,0,0,0,29,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0043,FL0043,160,352,19,0,19,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,14,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0224,FL0224,58,216,45,2,45,0,0,0,0,0,0,1,0,0,3,1,4,0,1,0,6,0,31,0,8,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
FL0255,FL0255,209,64,67,0,67,0,0,0,0,0,0,0,0,0,11,0,8,0,1,0,11,0,36,0,19,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0359,FL0359,266,196,12,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0455,FL0455,221,69,19,2,19,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0470,FL0470,121,32,3,69,3,0,0,32,0,1,0,26,0,1,0,36,0,0,0,1,0,0,3,0,0,20,0,0,0,0,0,2,0,2,0,5,0,1,0,1,0,0
FL0490,FL0490,13,12,1,3,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FL0491,FL0491,50,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0542,FL0542,66,19,1,33,1,0,0,11,0,0,0,15,0,0,0,11,0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,7,0,1,0,0,0,4,0,0,0,0
FL0594,FL0594,185,353,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0602,FL0602,253,85,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
