Isolate Rep,95%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,North America,Arnold South and Central America,South and Central America,Arnold Europe,Europe,Arnold Asia,Asia,Arnold Africa,Africa,Arnold Oceania,Oceania,Arnold Boreal/Subarctic,Boreal/Subarctic,Arnold Temperate,Temperate,Arnold Subtropical,Subtropical,Arnold Tropical,Tropical,Arnold Desert,Desert,Arnold Angiospermae,Angiospermae,Arnold Pinophyta,Pinophyta,Arnold Ginkgophyta,Ginkgophyta,Arnold Pteridophyta,Pteridophyta,Arnold Marchantiophyta,Marchantiophyta,Arnold Lycophyta,Lycophyta,Arnold Bryophyta,Bryophyta,Arnold Rhodophyta,Rhodophyta,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,Arnold Seed,Seed,Arnold Root,Root,Arnold Wood/Bark,Wood/Bark,Arnold Soil,Soil,Arnold insect nest,insect nest
FL0470,121,3,69,3,0,0,32,0,1,0,26,0,0,0,1,0,0,0,1,3,20,0,36,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,5,0,2,0,2,0,1,0,1
NC0429,123,103,1,103,0,0,0,0,1,0,0,0,0,0,0,0,0,35,1,68,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,1,0,26,0,0,0,68,0,27,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
FL1015,128,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1218,134,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1383,137,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0804,144,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FL1105,147,56,35,56,0,0,12,0,2,0,10,0,0,0,1,0,0,5,2,51,3,0,14,0,0,5,21,1,2,0,1,0,0,0,0,1,0,1,0,0,0,48,0,3,27,0,0,5,0,0,1,0,1,0,1,0,0,0,0
FL1238,155,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0043,160,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1654,161,1,8,1,0,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FL1377,173,33,2,33,0,0,0,0,0,0,2,0,0,0,0,0,0,25,1,8,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,4,0,5,0,0,0,17,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
NC1612,175,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1254,176,161,6,161,2,0,1,0,0,0,2,0,0,0,0,0,0,35,3,126,0,0,1,0,0,14,3,14,1,0,0,0,0,0,0,1,0,10,0,0,0,122,1,16,3,11,0,12,0,0,1,0,0,0,0,0,0,0,2
FL0594,185,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0890,192,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,15,0,24,0,0,0,0,0,0,0,1,0,6,0,0,0,91,0,25,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0
FL1019,194,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0821,199,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
AK0226,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0255,209,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,1,0,11,0,0,0,36,0,19,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0
FL0980,212,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC0608,214,43,24,43,5,0,2,0,8,0,9,0,0,0,0,0,0,43,13,0,0,0,2,0,0,11,15,3,5,0,0,0,0,0,3,0,0,3,0,0,0,26,0,6,14,3,0,8,0,0,0,0,0,0,0,0,0,0,0
