Isolate Rep,Isolate.Name,95%OTU,99%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,"USA, Canada",Arnold South and Central America,"Mexico, S. & C.  America",Arnold Europe,Europe,Arnold Asia,Asia,Arnold Other,Other,Arnold Angiospermae,Angiospermae,Arnold Gymnosperm,"""Gymnosperm""",Arnold Seed-free vascular plants,Seed-free vascular plants,Arnold non-vascular plants,Non-vascular plants,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,"Arnold Wood, bark","Wood, bark",Arnold Root,Root,Arnold Seed,Seed,Arnold Soil,Soil,Arnold insect-associated,Insect-associated,"Arnold Fruit, inflorescence","Fruit, inflorescence"
Hypohypo,Hypoxylon hypomiltum,156,.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypoinve,Hypoxylon investiens,157,.,1,10,0,0,0,0,0,0,1,9,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypojeco,Hypoxylon jecorinum,158,*,1,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypoleno1,Hypoxylon lenormandii YMJ 88113017,159,.,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypoleno2,Hypoxylon lenormandii YMJ 92092009,159,.,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypomont2,Hypoxylon monticulosum YMJ 90080806,52,*,1,7,0,0,0,3,0,1,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hypomunk,Hypoxylon munkii,163,*,1,25,0,0,0,10,0,1,1,8,0,1,0,14,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0
Hyponota,Hypoxylon notatum,164,*,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypopoly1,Hypoxylon polyporoideum YMJ 15,167,.,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypopoly2,Hypoxylon polyporoideum YMJ 56,167,.,1,10,0,1,0,4,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Hyporick,Hypoxylon rickii,168,*,1,8,0,0,1,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Hyporubig,Hypoxylon rubiginosum YMJ 24,170,*,1,14,0,0,0,1,1,8,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hypotici,Hypoxylon ticinense,175,.,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypotrug1,Hypoxylon trugodes YMJ 88113005,176,*,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypotrug2,Hypoxylon trugodes YMJ 57,176,.,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypovino,Hypoxylon vinosopulvinatum,178,.,1,3,0,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kretclav,Kretzschmaria clavus,180,.,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kretdeus,Kretzschmaria deusta,95,.,1,8,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Kretpavi,Kretzschmaria pavimentosa,183,*,1,8,0,0,0,4,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemaabor,Nemania abortiva,39,.,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemabipa,Nemania bipapillata,186,*,1,14,0,0,0,0,0,0,1,11,0,0,0,2,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nemadiff2,Nemania diffusa,86,*,1,10,0,0,0,0,0,0,1,10,0,0,1,7,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Nemaplum,Nemania plumbea,189,.,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nemaprim,Nemania primolutea,190,*,1,6,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemaserp1,Nemania serpens,191,.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosebuxi,Rosellinia buxi,208,.,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosecort,Rosellinia corticium,209,*,1,4,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseneca,Rosellinia necatrix,212,.,1,20,0,0,0,0,0,3,1,12,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0
Stilquis1,Stilbohypoxylon quisquiliarum 172,217,.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylaacum,Xylaria acuminatilongissima,272,.,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Xylaacut,Xylaria acuta,236,.,1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylaadsc1,Xylaria adscendens 570,218,*,1,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylaadsc2,Xylaria adscendens 865 ,218,*,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylaalla,Xylaria allantoidea,219,.,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Xylaapod,Xylaria apoda,221,.,1,3,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylaarbu1,Xylaria arbuscula,66,*,1,22,0,0,0,0,0,0,1,15,0,0,0,12,0,6,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Xylabadi,Xylaria badia,225,.,1,7,0,0,0,0,0,0,1,7,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylabamb1,Xylaria bambusicola 205,226,*,1,7,0,0,0,1,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylabamb2,Xylaria bambusicola 162 ,226,.,1,5,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Xylabert1,Xylaria berteri 256,231,*,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Xylabert2,Xylaria berteri 90112623,231,*,1,38,0,2,0,18,0,0,1,14,0,0,0,30,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
Xylabrun,Xylaria brunneovinosa,227,.,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Xylacast,Xylaria castorea,248,*,1,5,0,0,0,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylacube3,Xylaria cubensis 515 ,232,*,1,89,0,0,1,88,0,0,0,0,0,0,0,88,0,0,0,1,0,0,0,0,0,85,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0
Xylacube4,Xylaria cubensis 860,233,*,1,4,1,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
Xylacurt1,Xylaria curta 494,234,.,1,8,0,0,1,4,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Xyladigi,Xylaria digitata,236,*,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylaesch,Xylaria escharoidea,238,.,1,20,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Xylafeej1,Xylaria feejeensis 180,239,*,1,14,0,0,0,0,0,0,1,10,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylafeej2,Xylaria feejeensis 565 ,239,*,1,5,0,0,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Xylafeej3,Xylaria feejeensis 92092013,239,.,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylafiss,Xylaria fissilis,241,.,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylagram,Xylaria grammica,279,*,1,20,0,0,0,0,0,0,1,18,0,2,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Xylahaem,Xylaria haemorrhoidalis,245,.,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylahypo1,Xylaria hypoxylon 152 ,279,*,1,51,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylahypo2,Xylaria hypoxylon 95082001,279,.,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xylahypo3,Xylaria hypoxylon CBS 499.80,251,*,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xylahypo4,Xylaria hypoxylon AFTOL-ID 51,279,.,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
